Year,FIPS,State,County,Drug Overdose Mortality Rate
2014,01001,Alabama,Autauga,7
2014,01003,Alabama,Baldwin,15
2014,01005,Alabama,Barbour,
2014,01007,Alabama,Bibb,17
2014,01009,Alabama,Blount,13
2014,01011,Alabama,Bullock,
2014,01013,Alabama,Butler,8
2014,01015,Alabama,Calhoun,11
2014,01017,Alabama,Chambers,9
2014,01019,Alabama,Cherokee,13
2014,01021,Alabama,Chilton,18
2014,01023,Alabama,Choctaw,
2014,01025,Alabama,Clarke,
2014,01027,Alabama,Clay,
2014,01029,Alabama,Cleburne,10
2014,01031,Alabama,Coffee,6
2014,01033,Alabama,Colbert,4
2014,01035,Alabama,Conecuh,11
2014,01037,Alabama,Coosa,
2014,01039,Alabama,Covington,5
2014,01041,Alabama,Crenshaw,
2014,01043,Alabama,Cullman,7
2014,01045,Alabama,Dale,8
2014,01047,Alabama,Dallas,5
2014,01049,Alabama,DeKalb,12
2014,01051,Alabama,Elmore,5
2014,01053,Alabama,Escambia,20
2014,01055,Alabama,Etowah,12
2014,01057,Alabama,Fayette,11
2014,01059,Alabama,Franklin,14
2014,01061,Alabama,Geneva,5
2014,01063,Alabama,Greene,
2014,01065,Alabama,Hale,
2014,01067,Alabama,Henry,
2014,01069,Alabama,Houston,9
2014,01071,Alabama,Jackson,9
2014,01073,Alabama,Jefferson,10
2014,01075,Alabama,Lamar,10
2014,01077,Alabama,Lauderdale,10
2014,01079,Alabama,Lawrence,14
2014,01081,Alabama,Lee,5
2014,01083,Alabama,Limestone,10
2014,01085,Alabama,Lowndes,
2014,01087,Alabama,Macon,
2014,01089,Alabama,Madison,6
2014,01091,Alabama,Marengo,
2014,01093,Alabama,Marion,5
2014,01095,Alabama,Marshall,8
2014,01097,Alabama,Mobile,12
2014,01099,Alabama,Monroe,7
2014,01101,Alabama,Montgomery,5
2014,01103,Alabama,Morgan,16
2014,01105,Alabama,Perry,
2014,01107,Alabama,Pickens,9
2014,01109,Alabama,Pike,7
2014,01111,Alabama,Randolph,11
2014,01113,Alabama,Russell,11
2014,01115,Alabama,St. Clair,13
2014,01117,Alabama,Shelby,13
2014,01119,Alabama,Sumter,
2014,01121,Alabama,Talladega,9
