Year,FIPS,State,County,Drug Overdose Mortality Rate,% Unemployed,Graduation Rate,Household Income,% Food Insecure,% Limited Access,Preventable Hospitalizations
2014,54001,West Virginia,Barbour,13,7.8,78,32940,15,1,104
2014,54003,West Virginia,Berkeley,16,7.0,81,52672,13,7,79
2014,54005,West Virginia,Boone,39,10.9,76,39194,14,1,138
2014,54007,West Virginia,Braxton,14,9.5,83,33280,16,9,71
2014,54009,West Virginia,Brooke,22,9.6,89,40044,14,6,108
2014,54011,West Virginia,Cabell,25,6.8,71,36048,16,3,81
2014,54013,West Virginia,Calhoun,,10.9,88,32922,17,13,114
2014,54015,West Virginia,Clay,,12.3,83,32885,18,7,108
2014,54017,West Virginia,Doddridge,,7.1,93,34753,14,1,92
2014,54019,West Virginia,Fayette,23,8.2,71,33445,15,7,121
2014,54021,West Virginia,Gilmer,,7.0,83,32912,17,4,128
2014,54023,West Virginia,Grant,,10.8,83,38029,15,6,92
2014,54025,West Virginia,Greenbrier,21,7.8,74,36248,15,4,83
2014,54027,West Virginia,Hampshire,17,7.5,83,34896,16,10,103
2014,54029,West Virginia,Hancock,28,9.4,80,37025,16,9,118
2014,54031,West Virginia,Hardy,,8.2,78,38171,14,16,91
2014,54033,West Virginia,Harrison,16,6.3,78,41221,14,5,98
2014,54035,West Virginia,Jackson,14,9.1,76,39352,15,4,103
2014,54037,West Virginia,Jefferson,17,5.1,81,62924,11,1,60
2014,54039,West Virginia,Kanawha,20,6.4,71,45813,13,8,83
2014,54041,West Virginia,Lewis,10,6.0,72,37345,14,2,156
2014,54043,West Virginia,Lincoln,30,9.9,75,34023,17,0,141
2014,54045,West Virginia,Logan,40,9.1,79,33542,15,2,193
2014,54047,West Virginia,McDowell,62,9.7,74,25246,20,2,144
2014,54049,West Virginia,Marion,12,6.3,79,40638,13,5,98
2014,54051,West Virginia,Marshall,12,8.3,86,42395,14,12,121
2014,54053,West Virginia,Mason,21,11.0,82,36730,16,8,121
2014,54055,West Virginia,Mercer,33,7.4,73,34688,15,10,102
2014,54057,West Virginia,Mineral,14,7.4,92,38673,14,5,98
